verse,reference,emotional_tags,situational_tags,example_user_phrasings,verse_es
"And when my way lies through a valley of gloom, I fear no evil, for you are with me. Your rod and your staff comfort me.","Psalm 23:4","[""fear"", ""grief""]","[""bereavement"", ""terminal_illness""]","[""I'm walking through a really dark time and I'm scared."", ""I don't know how I'll get through this loss."", ""I feel afraid and alone right now.""]","Aunque pase por el valle de sombra de muerte, no temeré peligro alguno, porque tú estás a mi lado. Tu vara y tu bastón me infunden aliento."
"Weeping may lodge for the night, but the morning brings shouts of joy.","Psalm 30:5","[""grief"", ""sadness"", ""hope""]","[""bereavement""]","[""I don't think this sadness will ever end."", ""I cried myself to sleep again last night."", ""Will things ever feel okay again?""]","Porque su enojo dura solo un momento, pero su favor dura toda la vida. El llanto puede durar toda la noche, pero a la mañana llega la alegría."
"The Lord is near to the broken-hearted, he helps those whose spirit is crushed.","Psalm 34:18","[""heartbreak"", ""sadness"", ""discouragement""]","[""divorce_or_separation"", ""bereavement""]","[""My heart feels shattered."", ""I feel completely crushed inside."", ""I don't know how to keep going after this.""]","Yahvé está cerca de los que tienen el corazón quebrantado, y salva a los que tienen el espíritu abatido."
"God is our refuge and strength, a very present help in trouble. So we have no fear, though earth should change, and the hills totter into the heart of the ocean.","Psalm 46:1-2","[""fear"", ""faith""]","[""natural_disaster""]","[""I'm terrified with everything falling apart around me."", ""I feel like the ground is shifting under me."", ""I don't feel safe with everything that's happening.""]","Dios es nuestro refugio y nuestra fuerza, nuestra ayuda siempre presente en las angustias. Por eso no temeremos, aunque la tierra tiemble, y los montes se hundan en el fondo del mar;"
"Cast your burden on the Lord, and he will sustain you. He will never let the righteous be shaken.","Psalm 55:22","[""anxiety"", ""overwhelm"", ""helplessness""]","[]","[""I don't know how to carry all of this anymore."", ""Everything feels like too much right now."", ""I can't stop worrying about everything.""]","Entrégale tus cargas a Yahvé, y él te cuidará. Él no permitirá jamás que los justos tropiecen y caigan."
"Therefore do not be anxious about tomorrow, for tomorrow will bring its own anxieties. Every day has trouble enough of its own.","Matthew 6:34","[""anxiety"", ""uncertainty""]","[""career_uncertainty""]","[""I keep worrying about what's going to happen tomorrow."", ""I can't stop thinking about the future."", ""I'm anxious about everything that could go wrong.""]","Por lo tanto, no se preocupen por el día de mañana, porque el mañana traerá sus propias preocupaciones. Cada día tiene ya sus propios problemas."
"Come to me, all you who toil and are burdened, and I will give you rest! Take my yoke on you, and learn from me, for I am gentle and humble, and you will find rest for your souls; for my yoke is easy, and my burden is light.","Matthew 11:28-30","[""exhaustion"", ""overwhelm""]","[""caregiving""]","[""I'm so exhausted, I don't have anything left to give."", ""I feel like I'm carrying too much on my own."", ""I just need rest, I'm running on empty.""]","“Vengan a mí todos los que están cansados y llevan cargas pesadas, y yo les daré descanso. Pónganse mi yugo y aprendan de mí, que soy manso y humilde de corazón, y encontrarán descanso para sus almas. Porque mi yugo es fácil de llevar, y mi carga es liviana”."
"Peace be with you! My own peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled, or dismayed.","John 14:27","[""fear"", ""anxiety"", ""peace""]","[]","[""My heart feels troubled and unsettled."", ""I can't shake this fear."", ""I don't feel at peace with anything right now.""]","La paz les dejo. Mi paz les doy; no se la doy como la da el mundo. No se turbe su corazón, ni tenga miedo."
"I have spoken to you in this way, so that in me you may find peace. In the world you will find trouble; yet, take courage! I have conquered the world.","John 16:33","[""fear"", ""discouragement"", ""courage""]","[""persecution_or_discrimination""]","[""I feel discouraged by everything going wrong."", ""This world feels so hard to face right now."", ""I need courage to keep going.""]","Les he dicho estas cosas para que en mí tengan paz. En el mundo tienen problemas; pero ¡anímense! Yo he vencido al mundo."
"We do know that God causes all things to work together for the good of those who love him – those who have received the call in accordance with his purpose.","Romans 8:28","[""hope"", ""confusion"", ""doubt""]","[]","[""I don't understand why this is happening to me."", ""I can't see any good coming from this situation."", ""I wonder if there's any purpose behind all this pain.""]","Sabemos que todas las cosas cooperan para el bien de los que aman a Dios, de los que son llamados según su propósito."
"For I am persuaded that neither death, nor life, nor angels, nor archangels, nor the present, nor the future, nor any powers, nor height, nor depth, nor any other created thing, will be able to separate us from the love of God revealed in Christ Jesus, our Lord!","Romans 8:38-39","[""loneliness"", ""doubt"", ""fear""]","[""estrangement"", ""betrayal""]","[""I feel like God has abandoned me."", ""I feel so alone and disconnected from everyone."", ""I wonder if I'm too far gone for God to love me.""]","Porque estoy convencido de que ni la muerte, ni la vida, ni los ángeles, ni los principados, ni lo presente, ni lo futuro, ni las potencias, ni la altura, ni la profundidad, ni ninguna otra cosa creada podrá separarnos del amor de Dios que está en Cristo Jesús, nuestro Señor."
"Do not be anxious about anything; but under all circumstances, by prayer and entreaty joined with thanksgiving, make your needs known to God. Then the peace of God, which is beyond all human understanding, will stand guard over your hearts and thoughts, through your union with Christ Jesus.","Philippians 4:6-7","[""anxiety"", ""overwhelm""]","[]","[""I can't stop worrying about everything in my life."", ""My mind just won't quiet down."", ""I need peace, I'm so anxious.""]","No se angustien por nada; más bien, en toda ocasión, con oración y ruego, presenten sus peticiones a Dios y denle gracias. Y la paz de Dios, que sobrepasa todo entendimiento, cuidará sus corazones y sus pensamientos en Cristo Jesús."
"My friends, whatever trials you may face from time to time, always regard them as a reason for rejoicing, knowing, as you do, that the testing of your faith develops endurance. And let endurance do its work perfectly, so that you may be altogether perfect, and in no respect lacking.","James 1:2-4","[""discouragement"", ""exhaustion"", ""hope""]","[]","[""I feel like I'm being tested and I don't know why."", ""This trial is wearing me down."", ""I don't know how much more I can take.""]","Hermanos míos, alégrense cuando caigan en diversas pruebas, sabiendo que la prueba de su fe produce paciencia. Dejen que la paciencia tenga su obra perfecta, para que sean perfectos y cabales, sin que les falte nada."
"Humble yourselves, therefore, under the mighty hand of God, so that he may exalt you in his good time, laying all your anxieties on him, for he makes you his care.","1 Peter 5:6-7","[""anxiety"", ""helplessness"", ""overwhelm""]","[]","[""I'm carrying so much anxiety I can't function."", ""I don't know how to let go of my worries."", ""Everything feels out of my control.""]","Humíllense, pues, bajo la poderosa mano de Dios, para que él los exalte a su debido tiempo. Echen sobre él toda su ansiedad, porque él cuida de ustedes."
"My help is enough for you; for my strength attains its perfection in the midst of weakness.","2 Corinthians 12:9","[""insecurity"", ""helplessness"", ""exhaustion""]","[""chronic_pain_or_illness""]","[""I feel so weak and inadequate."", ""I don't have the strength to keep going on my own."", ""I feel like I'm not enough.""]","Pero él me ha dicho: “Te basta con mi gracia, pues mi poder se perfecciona en la debilidad”. Por lo tanto, me jactaré de mis debilidades con mucho gusto, para que el poder de Cristo descanse sobre mí."
"How long, Lord, will you forget me forever? How long will you hide your face from me? How long must I nurse grief inside me, and in my heart a daily sorrow? How long are my foes to exult over me?","Psalm 13:1-2","[""hopelessness"", ""despair"", ""sadness""]","[]","[""I feel like God has forgotten about me."", ""How long is this going to last?"", ""I don't see this pain ending anytime soon.""]","¿Hasta cuándo, Yahvé? ¿Me vas a olvidar para siempre? ¿Hasta cuándo me esconderás tu rostro? ¿Hasta cuándo tendré angustia en mi alma, y tristeza en mi corazón todos los días? ¿Hasta cuándo triunfará mi enemigo sobre mí?"
"My God, my God, why have you left me, my rescue so far from the words of my roaring? I cry in the day, you do not answer, I cry in the night but find no rest.","Psalm 22:1-2","[""despair"", ""anger_at_god"", ""loneliness""]","[]","[""Why does it feel like God isn't listening to me?"", ""I feel so abandoned right now."", ""I keep crying out but nothing changes.""]","Dios mío, Dios mío, ¿por qué me has abandonado? ¿Por qué estás tan lejos para salvarme, tan lejos de mis gritos de angustia? Dios mío, clamo de día, pero no me respondes; clamo de noche, y no encuentro descanso."
"I say to God my rock, “Why have you forgotten me? Why must I walk so sadly, so hard pressed by the foe?” It pierces me to the heart to hear the enemy’s taunts, as all the day long they say to me, “Where is your God?” Why am I downcast? Why this moaning within me? Hope in God; for yet will I praise him, my help, my God.","Psalm 42:9-11","[""hopelessness"", ""discouragement"", ""hope""]","[]","[""I don't understand why I feel so low."", ""I keep asking myself why God feels so distant."", ""I'm trying to hold onto hope but it's hard.""]","Le digo a Dios, mi roca: “¿Por qué me has olvidado? ¿Por qué debo andar de luto por la opresión del enemigo?” Como un golpe mortal a mis huesos, mis adversarios me insultan, preguntándome a todas horas: “¿Dónde está tu Dios?” ¿Por qué voy a inquietarme? ¿Por qué me voy a angustiar? ¡En Dios pondré mi esperanza! Porque todavía lo alabaré, ¡él es mi salvador y mi Dios!"
"For the Lord I waited and waited, till, inclining to me, he heard my cry. From the horrible pit he drew me, up out of the miry clay; he set my feet on a rock, and my steps he made firm. He put a new song in my mouth, of praise to our God. Many see it, and, filled with awe, put their trust in the Lord.","Psalm 40:1-3","[""hope"", ""relief"", ""gratitude""]","[""addiction_recovery""]","[""I finally feel like I'm coming out of a dark place."", ""Things are starting to turn around for me."", ""I want to thank God for pulling me through this.""]","Puse en Yahvé toda mi esperanza; él se inclinó hacia mí y escuchó mi clamor. Me sacó del pozo de la desesperación, del lodo y del fango; puso mis pies sobre una roca, y me dio un lugar firme donde apoyarme. Puso en mi boca un cántico nuevo, un himno de alabanza a nuestro Dios. Muchos verán esto y temerán, y pondrán su confianza en Yahvé."
"Turn to me with your favor, for I am lonely and crushed. In my heart are strain and storm; bring me out of my distresses. Look on my misery and trouble, and pardon all my sins.","Psalm 25:16-18","[""loneliness"", ""helplessness"", ""overwhelm""]","[""social_isolation""]","[""I feel so alone and overwhelmed."", ""Nobody understands what I'm going through."", ""I feel crushed by everything happening.""]","Vuélvete a mí y ten compasión de mí, porque me siento solo y afligido. Las angustias de mi corazón han crecido; sácame de mis tormentos. Fíjate en mi dolor y en mis sufrimientos, y perdona todos mis pecados."
"They who sow in tears shall reap with glad shouts. Forth they fare, with their burden of seed, and they weep as they go. But home, home, with glad shouts they shall come with their arms full of sheaves.","Psalm 126:5-6","[""hope"", ""grief"", ""joy""]","[]","[""I've been putting in so much effort with nothing to show for it yet."", ""I hope all this hard work and heartache will pay off."", ""I'm holding onto hope that better days are coming.""]","Los que siembran con lágrimas cosecharán con gritos de alegría. El que sale llorando mientras lleva la semilla para sembrar, volverá cantando de alegría, trayendo sus manojos de trigo."
